filename,glide_source_path,copied_to
THE LEGEND OF ZELDA#1625825E#2#1#9B3CB518_ciByRGBA.png,/wip/glide/THE LEGEND OF ZELDA#1625825E#2#1#9B3CB518_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#1625825E#2#1#9B3CB518_ciByRGBA.png
THE LEGEND OF ZELDA#4D77A128#2#1#502EE949_ciByRGBA.png,/wip/glide/THE LEGEND OF ZELDA#4D77A128#2#1#502EE949_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#4D77A128#2#1#502EE949_ciByRGBA.png
THE LEGEND OF ZELDA#1DC2FA04#2#1#9345AB8C_ciByRGBA.png,/wip/glide/THE LEGEND OF ZELDA#1DC2FA04#2#1#9345AB8C_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#1DC2FA04#2#1#9345AB8C_ciByRGBA.png
THE LEGEND OF ZELDA#5A61D2F7#2#1#FB5CEA6C_ciByRGBA.png,/wip/glide/THE LEGEND OF ZELDA#5A61D2F7#2#1#FB5CEA6C_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#5A61D2F7#2#1#FB5CEA6C_ciByRGBA.png
THE LEGEND OF ZELDA#3C78F1AF#0#2_all.png,/wip/glide/THE LEGEND OF ZELDA#3C78F1AF#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#3C78F1AF#0#2_all.png
THE LEGEND OF ZELDA#DDF34634#2#1#84DD6571_ciByRGBA.png,/wip/glide/THE LEGEND OF ZELDA#DDF34634#2#1#84DD6571_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#DDF34634#2#1#84DD6571_ciByRGBA.png
THE LEGEND OF ZELDA#52D84A26#3#0_all.png,/wip/glide/THE LEGEND OF ZELDA#52D84A26#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#52D84A26#3#0_all.png
THE LEGEND OF ZELDA#DA752DFC#4#0_all.png,/wip/glide/THE LEGEND OF ZELDA#DA752DFC#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#DA752DFC#4#0_all.png
THE LEGEND OF ZELDA#70B7DEE6#0#2_all.png,/wip/glide/THE LEGEND OF ZELDA#70B7DEE6#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#70B7DEE6#0#2_all.png
THE LEGEND OF ZELDA#556F8442#4#1_all.png,/wip/glide/THE LEGEND OF ZELDA#556F8442#4#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#556F8442#4#1_all.png
