glide_file,glide_path,glide_hash,glide_width,glide_height,ng_path,ng_hash,ng_width,ng_height,hamming_distance
THE LEGEND OF ZELDA#0FBCFEA9#2#1#4FE3C92D_ciByRGBA.png,/wip/glideout/THE LEGEND OF ZELDA#0FBCFEA9#2#1#4FE3C92D_ciByRGBA.png,95c55474c947fd09,256,256,scenes/mq/Bmori1_scene/Bmori1_room_17Tex_0078E8.png,95c55474c947fd09,256,256,0
THE LEGEND OF ZELDA#F30BB722#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#F30BB722#0#2_all.png,e15c8cb1d86eb199,32,32,objects/object_gndd/gYoungGanondorfHandSideTex.png,e15c8cb1d86eb199,32,32,0
THE LEGEND OF ZELDA#37550492#3#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#37550492#3#2_all.png,95af6a946a946897,512,256,textures/title_static/gFileSelWindow18Tex.png,95af6a946a946897,512,256,0
THE LEGEND OF ZELDA#44DE8D7C#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#44DE8D7C#4#0_all.png,e0031fe00f7c0f3f,128,128,textures/nes_font_static/gMsgChar6ALatinSmallLetterJTex.png,e0031fe00f7c0f3f,128,128,0
THE LEGEND OF ZELDA#C538241E#3#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#C538241E#3#1_all.png,91e96e179716c368,768,128,textures/icon_item_nes_static/gPauseWaterTitleENGTex.png,91e96e179716c368,768,128,0
THE LEGEND OF ZELDA#EDCAFD4B#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#EDCAFD4B#0#2_all.png,92c03dceb191d769,128,256,objects/object_tite/object_tite_Tex_001B00.png,92c03dceb191d769,128,256,0
THE LEGEND OF ZELDA#7591BED2#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#7591BED2#4#0_all.png,916d5ab5a8d36744,384,340,textures/map_i_static/gDekuTreeRoom1MinimapTex.png,916d5ab5a8d36744,384,340,0
THE LEGEND OF ZELDA#5E082CCC#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#5E082CCC#3#0_all.png,0,256,512,scenes/mq/jyasinzou_scene/gSpiritTempleNightEntranceTex.png,0,64,1024,0
THE LEGEND OF ZELDA#9E700B58#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#9E700B58#0#2_all.png,918466dae570b53e,256,512,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,918466dae570b53e,256,512,0
THE LEGEND OF ZELDA#1CE95A33#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#1CE95A33#3#0_all.png,8ecd319a8e32cc67,1024,128,textures/item_name_static/gWeirdEggItemNameENGTex.png,8ecd319a8e32cc67,1024,128,0
THE LEGEND OF ZELDA#13C16BDF#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#13C16BDF#0#2_all.png,918466dae570b53e,256,512,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,918466dae570b53e,256,512,0
THE LEGEND OF ZELDA#86F9974B#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#86F9974B#0#2_all.png,8c9cb7a732671938,64,64,objects/object_mb/object_mbTex_008128.png,8c9cb7a732671938,64,64,0
THE LEGEND OF ZELDA#8C802B0C#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#8C802B0C#0#2_all.png,cdcf5a34e91941e1,256,256,scenes/mq/HAKAdanCH_scene/HAKAdanCH_sceneTex_00BD90.png,cdcf5a34e91941e1,256,256,0
THE LEGEND OF ZELDA#E618DC07#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#E618DC07#3#0_all.png,ce646599389bce64,384,128,textures/do_action_static/gOpenDoActionENGTex.png,ce646599389bce64,384,128,0
THE LEGEND OF ZELDA#C22A5414#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#C22A5414#0#2_all.png,87c3783d9c1e96c2,128,64,objects/object_po_sisters/object_po_sistersTex_005F78.png,87c3783d9c1e96c2,128,64,0
THE LEGEND OF ZELDA#DA752DFC#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#DA752DFC#4#0_all.png,b74889b5aa4c9bb1,384,340,textures/map_i_static/gForestTempleRoom4MinimapTex.png,b74889b5aa4c9bb1,384,340,0
THE LEGEND OF ZELDA#0A254D2C#3#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#0A254D2C#3#1_all.png,c9fb3325c606c63c,448,128,textures/title_static/gFileSelNameFRATex.png,c9fb3325c606c63c,448,128,0
THE LEGEND OF ZELDA#8C5B2BFF#4#1_all.png,/wip/glideout/THE LEGEND OF ZELDA#8C5B2BFF#4#1_all.png,a5ca0dfb24d40be6,512,512,scenes/shared/spot02_scene/spot02_room_1Tex_015D08.png,a5ca0dfb24d40be6,512,512,0
THE LEGEND OF ZELDA#91917056#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#91917056#0#2_all.png,b53bc890ce6707c3,128,256,scenes/mq/HAKAdanCH_scene/HAKAdanCH_room_6Tex_0016A0.png,b53bc890ce6707c3,128,256,0
THE LEGEND OF ZELDA#1EB1E4BD#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#1EB1E4BD#0#2_all.png,bb389207d19a6c75,256,256,scenes/mq/Bmori1_scene/Bmori1_room_0Tex_0074F8.png,bb389207d19a6c75,256,256,0
THE LEGEND OF ZELDA#D8457F03#0#3_all.png,/wip/glideout/THE LEGEND OF ZELDA#D8457F03#0#3_all.png,919c2ce51e3b4b1e,256,256,textures/icon_item_static/gItemIconBowFireTex.png,919c2ce51e3b4b1e,256,256,0
THE LEGEND OF ZELDA#3C78F1AF#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#3C78F1AF#0#2_all.png,b52d144277d78e15,512,256,scenes/shared/spot16_scene/spot16_sceneTex_00E198.png,b52d144277d78e15,512,256,0
THE LEGEND OF ZELDA#CF7BE807#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#CF7BE807#4#0_all.png,c73838c7639c6339,128,128,textures/kanji/gMsgKanji8283LowercaseCTex.png,c73838c7639c6339,128,128,0
THE LEGEND OF ZELDA#AA9A8A27#0#2_all.png,/wip/glideout/THE LEGEND OF ZELDA#AA9A8A27#0#2_all.png,bbd44127dc59a68c,128,128,objects/object_vm/gBeamosEyeOutlineTex.png,bbd44127dc59a68c,128,128,0
THE LEGEND OF ZELDA#8011CA6E#3#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#8011CA6E#3#0_all.png,d3d16d8e86269639,1024,128,textures/item_name_static/gPieceOfHeartItemNameENGTex.png,d3d16d8e86269639,1024,128,0
THE LEGEND OF ZELDA#D1772FEE#4#0_all.png,/wip/glideout/THE LEGEND OF ZELDA#D1772FEE#4#0_all.png,eccc0733330f3c3c,128,128,textures/nes_font_static/gMsgChar50LatinCapitalLetterPTex.png,eccc0733330f3c3c,128,128,0
