glide_file,best_ng_match,hamming_distance
THE LEGEND OF ZELDA#478D2E02#4#0_all.png,textures/kanji/gMsgKanji88F5Tex.png,0
THE LEGEND OF ZELDA#B40E5A5D#0#2_all.png,scenes/shared/takaraya_scene/takaraya_sceneTex_0051B0.png,0
THE LEGEND OF ZELDA#5F7D097F#0#2_all.png,scenes/mq/ddan_scene/ddan_room_16Tex_002158.png,0
THE LEGEND OF ZELDA#C5688DF3#2#1#6D4B5CC5_ciByRGBA.png,objects/object_hs/object_hs_Tex_005290.png,0
THE LEGEND OF ZELDA#A4B07D6C#2#1#71DA3337_ciByRGBA.png,scenes/shared/spot18_scene/spot18_room_3Tex_016048.png,0
THE LEGEND OF ZELDA#A43695FB#0#2_all.png,objects/object_tw/gTwinrovaSkinAndBangleTex.png,0
THE LEGEND OF ZELDA#8FD93E5A#4#0_all.png,textures/kanji/gMsgKanji93EFTex.png,0
THE LEGEND OF ZELDA#085525D0#3#1_all.png,textures/map_name_static/gQuestionMarkPositionNameGERTex.png,0
THE LEGEND OF ZELDA#E2FCF3F7#4#0_all.png,textures/kanji/gMsgKanji9285Tex.png,0
THE LEGEND OF ZELDA#5D4D6D07#2#1#4A1F1386_ciByRGBA.png,objects/object_link_child/gLinkChildMasterSwordEmblemTex.png,0
THE LEGEND OF ZELDA#3F008410#2#1#770EC5BD_ciByRGBA.png,scenes/shared/ganon_boss_scene/ganon_boss_sceneTex_001E58.png,0
THE LEGEND OF ZELDA#391A151D#4#0_all.png,textures/kanji/gMsgKanji8C76Tex.png,0
THE LEGEND OF ZELDA#17F59EB3#3#0_all.png,textures/item_name_static/gSongOfTimeItemNameGERTex.png,0
THE LEGEND OF ZELDA#F8DAB2B9#3#0_all.png,textures/item_name_static/gRedPotionItemNameENGTex.png,8
THE LEGEND OF ZELDA#4F3CF925#4#0_all.png,textures/kanji/gMsgKanji92F6Tex.png,0
THE LEGEND OF ZELDA#D9A8A1CA#3#0_all.png,textures/do_action_static/gAttackDoActionJPNTex.png,0
THE LEGEND OF ZELDA#DE271B04#3#0_all.png,textures/item_name_static/gGerudoMaskItemNameGERTex.png,6
THE LEGEND OF ZELDA#4EAA693E#2#1#DB506336_ciByRGBA.png,scenes/mq/Bmori1_scene/Bmori1_sceneTex_015690.png,0
THE LEGEND OF ZELDA#1F4650CC#4#0_all.png,textures/kanji/gMsgKanji8E7BTex.png,0
THE LEGEND OF ZELDA#F7F6F727#4#0_all.png,textures/kanji/gMsgKanji9540Tex.png,2
THE LEGEND OF ZELDA#4D9CDC5B#3#1_all.png,textures/icon_item_fra_static/gPauseYesFRATex.png,0
THE LEGEND OF ZELDA#279C436B#4#0_all.png,objects/gameplay_keep/gEffMagmaBubble1Tex.png,6
THE LEGEND OF ZELDA#C428E999#2#1#E18FC993_ciByRGBA.png,objects/object_xc/object_xcTex_006D80.png,2
THE LEGEND OF ZELDA#D0F4FE7B#3#1_all.png,textures/g_pn_52/gSacredForestMeadowTitleCardGERTex.png,0
THE LEGEND OF ZELDA#848C44A5#0#3_all.png,textures/icon_item_24_static/gQuestIconMedallionFireTex.png,0
THE LEGEND OF ZELDA#24E55032#4#0_all.png,textures/icon_item_field_static/gWorldMapCloud6Tex.png,4
THE LEGEND OF ZELDA#90A9430B#0#2_all.png,objects/object_fd/object_fdTex_00D438.png,4
THE LEGEND OF ZELDA#D4B6443B#2#1#BBE5E32B_ciByRGBA.png,scenes/mq/jyasinzou_scene/jyasinzou_room_26Tex_0094C8.png,0
THE LEGEND OF ZELDA#72125B95#4#0_all.png,textures/kanji/gMsgKanji9094Tex.png,0
THE LEGEND OF ZELDA#4D736C40#4#1_all.png,objects/object_gi_gloves/object_gi_glovesTex_000000.png,2
THE LEGEND OF ZELDA#C6C38762#4#0_all.png,textures/kanji/gMsgKanji815BChouonpuTex.png,6
THE LEGEND OF ZELDA#D07BF43D#4#0_all.png,textures/kanji/gMsgKanji96BCTex.png,0
THE LEGEND OF ZELDA#297F448A#4#1_all.png,overlays/ovl_Boss_Ganon/gGanondorfLightning9Tex.png,0
THE LEGEND OF ZELDA#92013FA1#2#1#EEBF66D4_ciByRGBA.png,objects/object_os/gHappyMaskSalesmanGoldFabricCenterTex.png,0
THE LEGEND OF ZELDA#1D6DEA9F#3#0_all.png,textures/item_name_static/gFireMedallionItemNameJPNTex.png,0
THE LEGEND OF ZELDA#B43E6382#3#0_all.png,textures/item_name_static/gZoraTunicItemNameGERTex.png,0
THE LEGEND OF ZELDA#2F291FAF#0#3_all.png,textures/icon_item_static/gItemIconFaroresWindTex.png,0
THE LEGEND OF ZELDA#7BF8EBF1#3#2_all.png,textures/title_static/gFileSelHiraganaButtonTex.png,4
THE LEGEND OF ZELDA#7FEE1FA7#4#1_all.png,textures/nintendo_rogo_static/nintendo_rogo_staticTex_0029C0.png,0
THE LEGEND OF ZELDA#6734E188#0#3_all.png,scenes/mq/jyasinzou_scene/gSpiritTempleNightEntranceTex.png,0
THE LEGEND OF ZELDA#AEB07FCA#0#2_all.png,objects/object_owl/object_owlTex_009FA8.png,0
THE LEGEND OF ZELDA#146FE79E#2#1#888A0596_ciByRGBA.png,objects/object_rl/object_rl_Tex_006518.png,0
THE LEGEND OF ZELDA#86B46CCA#0#2_all.png,scenes/shared/tokinoma_scene/tokinoma_sceneTex_00DFA0.png,0
THE LEGEND OF ZELDA#0CFB6356#3#0_all.png,textures/item_name_static/gBluePotionItemNameGERTex.png,6
THE LEGEND OF ZELDA#27B9304C#2#1#622F49B1_ciByRGBA.png,objects/object_ganon2/gGanonPauldronTex.png,0
THE LEGEND OF ZELDA#962009FE#2#1#10D018DE_ciByRGBA.png,scenes/mq/Bmori1_scene/Bmori1_sceneTex_015690.png,0
THE LEGEND OF ZELDA#84F76E31#3#1_all.png,textures/map_name_static/gHauntedWastelandPositionNameENGTex.png,0
THE LEGEND OF ZELDA#23CAE931#4#0_all.png,textures/kanji/gMsgKanji82D4HiraganaBuTex.png,0
THE LEGEND OF ZELDA#8E9AAAC7#2#1#76768BD3_ciByRGBA.png,scenes/mq/Bmori1_scene/Bmori1_room_1Tex_004368.png,0
THE LEGEND OF ZELDA#8B36B775#2#1#22D528C9_ciByRGBA.png,objects/object_rl/object_rl_Tex_007998.png,0
THE LEGEND OF ZELDA#C19A486A#0#2_all.png,objects/gameplay_keep/gArrowFletchingTex.png,2
THE LEGEND OF ZELDA#C3CF9335#4#0_all.png,textures/kanji/gMsgKanji82D0HiraganaHiTex.png,0
